date,demand_gwh
2022-01-01,1809.8
2022-01-02,1912.48
2022-01-03,2388.68
2022-01-04,2491.03
2022-01-05,2436.15
2022-01-06,2481.86
2022-01-07,2628.68
2022-01-08,2528.95
2022-01-09,2306.43
2022-01-10,2536.07
2022-01-11,2706.23
2022-01-12,2521.24
2022-01-13,2363.9
2022-01-14,2364.53
2022-01-15,2506.75
2022-01-16,2575.44
2022-01-17,2508.71
2022-01-18,2527.14
2022-01-19,2438.37
2022-01-20,2524.59
2022-01-21,2774.7
2022-01-22,2649.73
2022-01-23,2480.14
2022-01-24,2547.8
2022-01-25,2517.32
2022-01-26,2712.82
2022-01-27,2737.78
2022-01-28,2582.33
2022-01-29,2669.86
2022-01-30,2608.45
2022-01-31,2625.79
2022-02-01,2520.79
2022-02-02,2440.62
2022-02-03,2342.53
2022-02-04,2346.01
2022-02-05,2468.6
2022-02-06,2454.65
2022-02-07,2504.72
2022-02-08,2458.36
2022-02-09,2349.41
2022-02-10,2258.79
2022-02-11,2214.01
2022-02-12,2060.99
2022-02-13,2299.62
2022-02-14,2629.08
2022-02-15,2591.79
2022-02-16,2331.34
2022-02-17,2137.43
2022-02-18,2244.57
2022-02-19,2356.17
2022-02-20,2280.42
2022-02-21,2164.36
2022-02-22,2099.42
2022-02-23,2120.6
2022-02-24,2369.87
2022-02-25,2344.5
2022-02-26,2255.78
2022-02-27,2134.62
2022-02-28,2231.81
2022-03-01,2199.82
2022-03-02,2069.84
2022-03-03,2124.5
2022-03-04,2236.17
2022-03-05,1984.48
2022-03-06,1827.5
2022-03-07,1995.06
2022-03-08,2096.44
2022-03-09,2235.36
2022-03-10,2212.61
2022-03-11,2159.32
2022-03-12,2323.38
2022-03-13,2255.24
2022-03-14,2166.43
2022-03-15,2027.78
2022-03-16,1960.52
2022-03-17,1949.34
2022-03-18,1908.12
2022-03-19,1794.17
2022-03-20,1777.98
2022-03-21,1939.15
2022-03-22,1938.56
2022-03-23,1990.25
2022-03-24,2002.8
2022-03-25,2006.72
2022-03-26,1976.26
2022-03-27,2079.76
2022-03-28,2363.66
2022-03-29,2336.47
2022-03-30,2146.78
2022-03-31,1987.9
2022-04-01,1998.3
2022-04-02,1911.94
2022-04-03,1872.56
2022-04-04,2041.6
2022-04-05,2007.47
2022-04-06,1975.55
2022-04-07,2019.86
2022-04-08,1989.06
2022-04-09,1907.9
2022-04-10,1888.59
2022-04-11,1973.94
2022-04-12,1908.81
2022-04-13,1925.32
2022-04-14,1944.08
2022-04-15,1793.36
2022-04-16,1718.73
2022-04-17,1699.25
2022-04-18,2095.6
2022-04-19,2120.8
2022-04-20,2016.3
2022-04-21,1927.0
2022-04-22,1881.57
2022-04-23,1781.26
2022-04-24,1787.24
2022-04-25,1934.46
2022-04-26,1909.68
2022-04-27,1928.18
2022-04-28,1967.14
2022-04-29,1905.64
2022-04-30,1747.11
2022-05-01,1715.26
2022-05-02,1896.34
2022-05-03,1919.82
2022-05-04,1927.29
2022-05-05,1903.01
2022-05-06,1905.93
2022-05-07,1795.74
2022-05-08,1750.85
2022-05-09,1899.69
2022-05-10,1988.37
2022-05-11,2092.28
2022-05-12,2119.17
2022-05-13,2114.42
2022-05-14,1981.34
2022-05-15,1952.85
2022-05-16,2059.35
2022-05-17,1986.28
2022-05-18,1939.01
2022-05-19,2087.54
2022-05-20,2264.42
2022-05-21,2288.52
2022-05-22,2145.32
2022-05-23,1989.56
2022-05-24,1928.62
2022-05-25,1982.37
2022-05-26,2028.96
2022-05-27,2025.43
2022-05-28,1861.68
2022-05-29,1939.89
2022-05-30,2230.94
2022-05-31,2662.1
2022-06-01,2563.63
2022-06-02,2356.82
2022-06-03,2188.28
2022-06-04,1965.8
2022-06-05,1922.35
2022-06-06,2152.4
2022-06-07,2172.83
2022-06-08,2302.85
2022-06-09,2226.84
2022-06-10,2091.02
2022-06-11,1942.19
2022-06-12,2015.55
2022-06-13,2569.09
2022-06-14,2604.07
2022-06-15,2775.23
2022-06-16,2725.7
2022-06-17,2679.52
2022-06-18,1992.78
2022-06-19,1824.5
2022-06-20,2148.99
2022-06-21,2461.51
2022-06-22,2566.06
2022-06-23,2347.26
2022-06-24,2388.67
2022-06-25,2359.25
2022-06-26,2398.34
2022-06-27,2390.71
2022-06-28,2255.05
2022-06-29,2404.22
2022-06-30,2621.41
2022-07-01,2678.43
2022-07-02,2478.91
2022-07-03,2334.15
2022-07-04,2296.86
2022-07-05,2574.76
2022-07-06,2647.9
2022-07-07,2585.19
2022-07-08,2500.49
2022-07-09,2240.54
2022-07-10,2165.56
2022-07-11,2476.28
2022-07-12,2656.13
2022-07-13,2635.76
2022-07-14,2588.5
2022-07-15,2470.05
2022-07-16,2332.42
2022-07-17,2318.04
2022-07-18,2649.36
2022-07-19,2788.04
2022-07-20,2944.98
2022-07-21,2965.74
2022-07-22,2891.34
2022-07-23,2696.25
2022-07-24,2716.73
2022-07-25,2797.36
2022-07-26,2477.88
2022-07-27,2585.36
2022-07-28,2743.66
2022-07-29,2554.14
2022-07-30,2365.89
2022-07-31,2273.09
2022-08-01,2537.94
2022-08-02,2743.6
2022-08-03,2807.33
2022-08-04,2848.96
2022-08-05,2736.22
2022-08-06,2633.82
2022-08-07,2685.77
2022-08-08,2912.24
2022-08-09,2877.01
2022-08-10,2694.06
2022-08-11,2566.2
2022-08-12,2342.83
2022-08-13,2060.55
2022-08-14,2047.19
2022-08-15,2260.16
2022-08-16,2292.76
2022-08-17,2294.96
2022-08-18,2355.05
2022-08-19,2463.83
2022-08-20,2376.58
2022-08-21,2244.31
2022-08-22,2458.77
2022-08-23,2487.35
2022-08-24,2525.18
2022-08-25,2549.49
2022-08-26,2586.3
2022-08-27,2412.58
2022-08-28,2470.47
2022-08-29,2767.48
2022-08-30,2645.23
2022-08-31,2454.56
2022-09-01,2451.34
2022-09-02,2411.05
2022-09-03,2291.63
2022-09-04,2244.81
2022-09-05,2246.42
2022-09-06,2374.62
2022-09-07,2281.93
2022-09-08,2264.23
2022-09-09,2269.18
2022-09-10,2128.91
2022-09-11,2090.48
2022-09-12,2280.44
2022-09-13,2214.95
2022-09-14,2146.97
2022-09-15,2151.11
2022-09-16,2118.47
2022-09-17,2057.69
2022-09-18,2117.71
2022-09-19,2341.47
2022-09-20,2334.52
2022-09-21,2372.78
2022-09-22,2119.64
2022-09-23,1831.61
2022-09-24,1718.19
2022-09-25,1770.81
2022-09-26,1918.18
2022-09-27,1886.34
2022-09-28,1882.88
2022-09-29,1882.37
2022-09-30,1870.53
2022-10-01,1766.55
2022-10-02,1735.21
2022-10-03,1913.09
2022-10-04,1961.04
2022-10-05,1940.16
2022-10-06,1917.2
2022-10-07,1874.85
2022-10-08,1727.05
2022-10-09,1742.16
2022-10-10,1890.13
2022-10-11,1911.25
2022-10-12,1902.88
2022-10-13,1917.36
2022-10-14,1872.14
2022-10-15,1738.74
2022-10-16,1729.34
2022-10-17,1926.18
2022-10-18,2013.26
2022-10-19,2062.89
2022-10-20,2053.33
2022-10-21,1972.22
2022-10-22,1804.23
2022-10-23,1783.72
2022-10-24,1938.58
2022-10-25,1941.91
2022-10-26,1926.55
2022-10-27,1917.3
2022-10-28,1949.65
2022-10-29,1814.46
2022-10-30,1798.91
2022-10-31,1915.02
2022-11-01,1918.62
2022-11-02,1916.78
2022-11-03,1921.31
2022-11-04,1910.4
2022-11-05,1789.92
2022-11-06,1850.21
2022-11-07,1937.98
2022-11-08,1917.9
2022-11-09,1978.17
2022-11-10,1951.64
2022-11-11,1931.18
2022-11-12,1858.35
2022-11-13,1913.86
2022-11-14,2170.52
2022-11-15,2284.0
2022-11-16,2231.33
2022-11-17,2319.72
2022-11-18,2359.52
2022-11-19,2267.59
2022-11-20,2282.35
2022-11-21,2396.3
2022-11-22,2251.2
2022-11-23,2166.22
2022-11-24,1932.52
2022-11-25,1884.03
2022-11-26,1907.5
2022-11-27,1916.06
2022-11-28,2064.79
2022-11-29,2156.1
2022-11-30,2213.22
2022-12-01,2340.47
2022-12-02,2306.83
2022-12-03,2027.79
2022-12-04,2139.82
2022-12-05,2356.34
2022-12-06,2212.3
2022-12-07,2103.77
2022-12-08,2131.41
2022-12-09,2188.53
2022-12-10,2134.32
2022-12-11,2085.92
2022-12-12,2328.85
2022-12-13,2400.43
2022-12-14,2436.94
2022-12-15,2397.12
2022-12-16,2319.82
2022-12-17,2258.26
2022-12-18,2307.05
2022-12-19,2564.67
2022-12-20,2519.54
2022-12-21,2511.57
2022-12-22,2427.6
2022-12-23,2711.74
2022-12-24,2988.28
2022-12-25,2669.3
2022-12-26,2627.8
2022-12-27,2538.94
2022-12-28,2446.07
2022-12-29,2262.48
2022-12-30,2065.68
2022-12-31,1933.99
2023-01-01,1844.3
2023-01-02,1939.5
2023-01-03,2040.21
2023-01-04,2025.81
2023-01-05,2104.24
2023-01-06,2223.31
2023-01-07,2168.32
2023-01-08,2207.08
2023-01-09,2320.69
2023-01-10,2380.38
2023-01-11,2343.43
