date,cpi
2014-01-01,20.1179
2014-02-01,20.2179
2014-03-01,20.3766
2014-04-01,20.5019
2014-05-01,20.6615
2014-06-01,20.8214
2014-07-01,20.9562
2014-08-01,21.0575
2014-09-01,21.1737
2014-10-01,21.2816
2014-11-01,21.4079
2014-12-01,21.5843
2015-01-01,21.759
2015-02-01,21.9079
2015-03-01,22.1073
2015-04-01,22.2764
2015-05-01,22.5217
2015-06-01,22.7302
2015-07-01,22.888
2015-08-01,23.0234
2015-09-01,23.1628
2015-10-01,23.2599
2015-11-01,23.4135
2015-12-01,23.6464
2016-01-01,23.8515
2016-02-01,24.4008
2016-03-01,24.9314
2016-04-01,25.3329
2016-05-01,26.03
2016-06-01,26.4762
2016-07-01,26.8079
2016-08-01,27.0777
2016-09-01,27.2978
2016-10-01,27.5233
2016-11-01,27.7394
2016-12-01,28.0321
2017-01-01,28.3162
2017-02-01,28.7394
2017-03-01,29.2334
2017-04-01,29.7014
2017-05-01,30.2602
2017-06-01,30.7385
2017-07-01,31.1113
2017-08-01,31.4132
2017-09-01,31.6598
2017-10-01,31.901
2017-11-01,32.1503
2017-12-01,32.3411
2018-01-01,32.5995
2018-02-01,32.8576
2018-03-01,33.1324
2018-04-01,33.4089
2018-05-01,33.7728
2018-06-01,34.1906
2018-07-01,34.5777
2018-08-01,34.9401
2018-09-01,35.2323
2018-10-01,35.4928
2018-11-01,35.7771
2018-12-01,36.0414
2019-01-01,36.3074
2019-02-01,36.5725
2019-03-01,36.8601
2019-04-01,37.2081
2019-05-01,37.6217
2019-06-01,38.0259
2019-07-01,38.4105
2019-08-01,38.7891
2019-09-01,39.1937
2019-10-01,39.6124
2019-11-01,40.0179
2019-12-01,40.3598
2020-01-01,40.7123
2020-02-01,41.0338
2020-03-01,41.3782
2020-04-01,41.8002
2020-05-01,42.2884
2020-06-01,42.8015
2020-07-01,43.335
2020-08-01,43.9168
2020-09-01,44.5659
2020-10-01,45.2504
2020-11-01,45.9755
2020-12-01,46.7178
2021-01-01,47.4161
2021-02-01,48.1469
2021-03-01,48.8972
2021-04-01,49.373
2021-05-01,49.872
2021-06-01,50.399
2021-07-01,50.8653
2021-08-01,51.3867
2021-09-01,51.9771
2021-10-01,52.4875
2021-11-01,53.0538
2021-12-01,54.0177
2022-01-01,54.8133
2022-02-01,55.7072
2022-03-01,56.6792
2022-04-01,57.677
2022-05-01,58.7052
2022-06-01,59.7711
2022-07-01,60.8568
2022-08-01,61.9337
2022-09-01,62.7747
2022-10-01,63.5556
2022-11-01,64.4421
2022-12-01,65.5471
2023-01-01,66.7716
2023-02-01,67.9125
2023-03-01,69.1732
2023-04-01,70.4941
2023-05-01,71.863
2023-06-01,73.3926
2023-07-01,75.5109
2023-08-01,77.9113
2023-09-01,79.5455
2023-10-01,80.9252
2023-11-01,82.6149
2023-12-01,84.5045
2024-01-01,86.7356
2024-02-01,89.4395
2024-03-01,92.1397
2024-04-01,94.2468
2024-05-01,96.2627
2024-06-01,98.4867
2024-07-01,100.7279
2024-08-01,102.9599
2024-09-01,105.5539
2024-10-01,108.3401
2024-11-01,111.1983
2024-12-01,113.9088
2025-01-01,110.68
2025-02-01,112.9392
2025-03-01,117.34
2025-04-01,119.52
2025-05-01,121.35
2025-06-01,123.3907
2025-07-01,125.85
2025-08-01,126.7865
2025-09-01,127.7
2025-10-01,128.89
2025-11-01,130.4662
2025-12-01,131.1666
