date,cases
2019-01-06,524
2019-01-13,610
2019-01-20,608
2019-01-27,516
2019-02-03,541
2019-02-10,562
2019-02-17,552
2019-02-24,801
2019-03-03,487
2019-03-10,715
2019-03-17,549
2019-03-24,596
2019-03-31,773
2019-04-07,913
2019-04-14,691
2019-04-21,673
2019-04-28,898
2019-05-05,824
2019-05-12,1227
2019-05-19,1008
2019-05-26,885
2019-06-02,1068
2019-06-09,1318
2019-06-16,1591
2019-06-23,1487
2019-06-30,1724
2019-07-07,1162
2019-07-14,1346
2019-07-21,2162
2019-07-28,1606
2019-08-04,1803
2019-08-11,919
2019-08-18,1616
2019-08-25,1351
2019-09-01,1538
2019-09-08,1200
2019-09-15,1280
2019-09-22,1261
2019-09-29,1017
2019-10-06,1065
2019-10-13,1385
2019-10-20,964
2019-10-27,958
2019-11-03,1079
2019-11-10,935
2019-11-17,901
2019-11-24,861
2019-12-01,465
2019-12-08,560
2019-12-15,502
2019-12-22,687
2019-12-29,753
2020-01-05,580
2020-01-12,661
2020-01-19,663
2020-01-26,625
2020-02-02,440
2020-02-09,530
2020-02-16,334
2020-02-23,490
2020-03-01,647
2020-03-08,522
2020-03-15,634
2020-03-22,503
2020-03-29,663
2020-04-05,950
2020-04-12,678
2020-04-19,631
2020-04-26,942
2020-05-03,794
2020-05-10,959
2020-05-17,1268
2020-05-24,1017
2020-05-31,1357
2020-06-07,1993
2020-06-14,1214
2020-06-21,1434
2020-06-28,1138
2020-07-05,2051
2020-07-12,1282
2020-07-19,1246
2020-07-26,1920
2020-08-02,1455
2020-08-09,1271
2020-08-16,1660
2020-08-23,1273
2020-08-30,1315
2020-09-06,1863
2020-09-13,1081
2020-09-20,1449
2020-09-27,1493
2020-10-04,1143
2020-10-11,1317
2020-10-18,1264
2020-10-25,1172
2020-11-01,771
2020-11-08,758
2020-11-15,904
2020-11-22,646
2020-11-29,754
2020-12-06,653
2020-12-13,697
2020-12-20,643
2020-12-27,546
2021-01-03,376
2021-01-10,788
2021-01-17,555
2021-01-24,518
2021-01-31,441
2021-02-07,531
2021-02-14,729
2021-02-21,505
2021-02-28,526
2021-03-07,460
2021-03-14,436
2021-03-21,764
2021-03-28,596
2021-04-04,699
2021-04-11,636
2021-04-18,778
2021-04-25,1146
2021-05-02,704
2021-05-09,856
2021-05-16,773
2021-05-23,1095
2021-05-30,1202
2021-06-06,1910
2021-06-13,1731
2021-06-20,1618
2021-06-27,1606
2021-07-04,1409
2021-07-11,1876
2021-07-18,1133
2021-07-25,1314
2021-08-01,1463
2021-08-08,1446
2021-08-15,1216
2021-08-22,1826
2021-08-29,1619
2021-09-05,1352
2021-09-12,1583
2021-09-19,1468
2021-09-26,1002
2021-10-03,1291
2021-10-10,920
2021-10-17,1377
2021-10-24,1168
2021-10-31,1103
2021-11-07,549
2021-11-14,726
2021-11-21,729
2021-11-28,723
2021-12-05,887
2021-12-12,628
2021-12-19,575
2021-12-26,478
2022-01-02,384
2022-01-09,765
2022-01-16,519
2022-01-23,694
2022-01-30,664
2022-02-06,685
2022-02-13,486
2022-02-20,471
2022-02-27,720
2022-03-06,433
2022-03-13,575
2022-03-20,944
2022-03-27,795
2022-04-03,728
2022-04-10,672
2022-04-17,958
2022-04-24,821
2022-05-01,1161
2022-05-08,1507
2022-05-15,1103
2022-05-22,1601
2022-05-29,1041
2022-06-05,1567
2022-06-12,1412
2022-06-19,1127
2022-06-26,1221
2022-07-03,1574
2022-07-10,1650
2022-07-17,2175
2022-07-24,1780
2022-07-31,2085
2022-08-07,2443
2022-08-14,2453
2022-08-21,2406
2022-08-28,3170
2022-09-04,2630
2022-09-11,2806
2022-09-18,2739
2022-09-25,2755
2022-10-02,2052
2022-10-09,1985
2022-10-16,829
2022-10-23,1173
2022-10-30,1310
2022-11-06,888
2022-11-13,693
2022-11-20,652
2022-11-27,730
2022-12-04,797
2022-12-11,638
2022-12-18,620
2022-12-25,517
2023-01-01,648
2023-01-08,795
2023-01-15,326
2023-01-22,746
2023-01-29,403
2023-02-05,301
2023-02-12,610
2023-02-19,606
2023-02-26,506
2023-03-05,676
2023-03-12,631
2023-03-19,596
2023-03-26,823
2023-04-02,594
2023-04-09,805
2023-04-16,645
2023-04-23,940
2023-04-30,997
2023-05-07,1114
2023-05-14,950
2023-05-21,1255
2023-05-28,1016
2023-06-04,1230
2023-06-11,1175
2023-06-18,1150
2023-06-25,1805
2023-07-02,2079
2023-07-09,1513
2023-07-16,1701
2023-07-23,1497
2023-07-30,1979
2023-08-06,1334
2023-08-13,1480
2023-08-20,1837
2023-08-27,1616
2023-09-03,1841
2023-09-10,1538
2023-09-17,1435
2023-09-24,1304
2023-10-01,1722
2023-10-08,1480
2023-10-15,688
2023-10-22,827
