date,rain_mm
2019-01-01,0.5
2019-02-01,1.9
2019-03-01,2.1
2019-04-01,18.9
2019-05-01,79.2
2019-06-01,116.8
2019-07-01,203.2
2019-08-01,259.4
2019-09-01,159.7
2019-10-01,154.3
2019-11-01,17.1
2019-12-01,0.7
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,74.2
2020-04-01,131.3
2020-05-01,154.0
2020-06-01,118.5
2020-07-01,257.5
2020-08-01,226.0
2020-09-01,189.2
2020-10-01,51.7
2020-11-01,24.3
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.7
2021-03-01,14.0
2021-04-01,31.5
2021-05-01,103.4
2021-06-01,251.0
2021-07-01,403.6
2021-08-01,251.8
2021-09-01,259.7
2021-10-01,95.6
2021-11-01,59.8
2021-12-01,12.0
2022-01-01,9.4
2022-02-01,0.8
2022-03-01,17.5
2022-04-01,147.8
2022-05-01,273.3
2022-06-01,261.5
2022-07-01,217.5
2022-08-01,247.9
2022-09-01,193.8
2022-10-01,65.6
2022-11-01,0.4
2022-12-01,0.0
2023-01-01,0.1
2023-02-01,0.7
2023-03-01,29.2
2023-04-01,43.1
2023-05-01,72.0
2023-06-01,124.2
2023-07-01,81.4
2023-08-01,125.9
2023-09-01,114.6
2023-10-01,45.7
2023-11-01,7.7
2023-12-01,0.0
2024-01-01,0.0
2024-02-01,0.5
2024-03-01,10.0
2024-04-01,41.0
2024-05-01,24.0
2024-06-01,98.1
2024-07-01,487.0
2024-08-01,239.2
2024-09-01,183.2
2024-10-01,71.5
2024-11-01,0.0
2024-12-01,0.0
2025-01-01,0.1
2025-02-01,0.2
2025-03-01,1.3
2025-04-01,14.0
2025-05-01,43.4
2025-06-01,111.0
2025-07-01,183.5
2025-08-01,170.8
2025-09-01,186.5
2025-10-01,60.9
2025-11-01,1.9
2025-12-01,0.0
