date,rain_mm
2019-01-01,33.0
2019-02-01,26.0
2019-03-01,35.0
2019-04-01,54.0
2019-05-01,149.0
2019-06-01,176.0
2019-07-01,233.0
2019-08-01,180.0
2019-09-01,65.0
2019-10-01,35.0
2019-11-01,34.0
2019-12-01,23.0
2020-01-01,21.0
2020-02-01,29.0
2020-03-01,24.0
2020-04-01,54.0
2020-05-01,149.0
2020-06-01,187.0
2020-07-01,293.0
2020-08-01,236.0
2020-09-01,62.0
2020-10-01,30.0
2020-11-01,37.0
2020-12-01,31.0
2021-01-01,34.0
2021-02-01,19.0
2021-03-01,40.0
2021-04-01,56.0
2021-05-01,169.0
2021-06-01,295.0
2021-07-01,236.0
2021-08-01,327.0
2021-09-01,66.0
2021-10-01,42.0
2021-11-01,44.0
2021-12-01,34.0
2022-01-01,23.0
2022-02-01,34.0
2022-03-01,24.0
2022-04-01,65.0
2022-05-01,239.0
2022-06-01,349.0
2022-07-01,204.0
2022-08-01,144.0
2022-09-01,59.0
2022-10-01,25.0
2022-11-01,34.0
2022-12-01,31.0
2023-01-01,36.0
2023-02-01,33.0
2023-03-01,37.0
2023-04-01,57.0
2023-05-01,203.0
2023-06-01,135.0
2023-07-01,205.0
2023-08-01,132.0
2023-09-01,55.0
2023-10-01,39.0
2023-11-01,44.0
2023-12-01,38.0
2024-01-01,34.0
2024-02-01,43.0
2024-03-01,28.0
2024-04-01,51.0
2024-05-01,213.0
2024-06-01,252.0
2024-07-01,188.0
2024-08-01,417.0
2024-09-01,53.0
2024-10-01,27.0
2024-11-01,28.0
2024-12-01,28.0
2025-01-01,20.0
2025-02-01,20.0
2025-03-01,38.0
2025-04-01,55.0
2025-05-01,210.0
2025-06-01,226.0
2025-07-01,244.0
2025-08-01,138.0
2025-09-01,52.0
2025-10-01,34.0
2025-11-01,18.0
2025-12-01,28.0
2026-01-01,25.0
2026-02-01,26.0
2026-03-01,28.0
2026-04-01,54.0
2026-05-01,131.0
2026-06-01,192.0
