date,oil
1965-01-01,111.009134615
1966-01-01,130.828434066
1967-01-01,141.287087912
1968-01-01,154.227774725
1969-01-01,162.740865385
1970-01-01,192.166483516
1971-01-01,240.799725275
1972-01-01,304.21739011
1973-01-01,384.004567308
1974-01-01,429.662156593
1975-01-01,359.316929945
1976-01-01,437.251854396
1977-01-01,468.400789835
1978-01-01,424.435336538
1979-01-01,487.979429945
1980-01-01,509.828447802
1981-01-01,506.347252747
1982-01-01,340.184237416
1983-01-01,240.258921039
1984-01-01,219.032787575
1985-01-01,172.07466324
1986-01-01,252.590092166
1987-01-01,221.07107741
1988-01-01,276.518773485
1989-01-01,271.147951746
1990-01-01,342.618600452
1991-01-01,428.355835697
1992-01-01,442.39455335
1993-01-01,432.785148219
1994-01-01,437.249718628
1995-01-01,437.209159929
1996-01-01,445.364098092
1997-01-01,453.195010427
1998-01-01,454.409641012
1999-01-01,422.378905779
2000-01-01,456.037121728
2001-01-01,440.386604674
2002-01-01,425.194372519
2003-01-01,486.20517351
2004-01-01,500.429086073
2005-01-01,521.27590917
2006-01-01,508.947617045
2007-01-01,488.888857729
2008-01-01,509.870574978
2009-01-01,456.722912348
2010-01-01,473.816602915
2011-01-01,525.950870565
2012-01-01,549.833807597
2013-01-01,542.340469826
