date,bonny_light_usd
2015-01-01,48.81
2015-02-01,58.09
2015-03-01,56.69
2015-04-01,57.45
2015-05-01,65.08
2015-06-01,62.06
2015-07-01,57.01
2015-08-01,47.09
2015-09-01,48.08
2015-10-01,48.86
2015-11-01,44.82
2015-12-01,37.8
2016-01-01,30.66
2016-02-01,31.7
2016-03-01,37.76
2016-04-01,41.59
2016-05-01,47.01
2016-06-01,48.46
2016-07-01,45.25
2016-08-01,46.15
2016-09-01,47.43
2016-10-01,50.94
2016-11-01,45.25
2016-12-01,53.48
2017-01-01,55.01
2017-02-01,46.39
2017-03-01,52.13
2017-04-01,52.94
2017-05-01,50.57
2017-06-01,47.42
2017-07-01,49.01
2017-08-01,51.64
2017-09-01,56.79
2017-10-01,58.46
2017-11-01,63.56
2017-12-01,65.11
2018-01-01,69.68
2018-02-01,66.67
2018-03-01,74.72
2018-04-01,72.37
2018-05-01,77.64
2018-06-01,75.38
2018-07-01,74.72
2018-08-01,73.35
2018-09-01,79.59
2018-10-01,79.18
2018-11-01,66.59
2018-12-01,62.0
2019-01-01,60.39
2019-02-01,64.89
2019-03-01,67.67
2019-04-01,73.08
2019-05-01,73.65
2019-06-01,66.74
2019-07-01,66.24
2019-08-01,61.05
2019-09-01,65.27
2019-10-01,59.1
2019-11-01,63.56
2019-12-01,68.56
2020-01-01,66.68
2020-02-01,58.45
2020-03-01,32.29
2020-04-01,14.28
2020-05-01,27.9
2020-06-01,40.3
2020-07-01,44.1
2020-08-01,45.06
2020-09-01,40.85
2020-10-01,39.74
2020-11-01,42.7
2020-12-01,50.33
2021-01-01,54.87
2021-02-01,62.48
2021-03-01,65.62
2021-04-01,64.3
2021-05-01,67.83
2021-06-01,73.46
2021-07-01,75.93
2021-08-01,70.72
2021-09-01,74.55
2021-10-01,84.11
2021-11-01,82.16
2021-12-01,65.41
2022-01-01,88.71
2022-02-01,99.64
2022-03-01,121.23
2022-04-01,106.51
2022-05-01,116.72
2022-06-01,130.1
2022-07-01,120.54
2022-08-01,106.34
2022-09-01,93.25
2022-10-01,96.57
2022-11-01,93.36
2022-12-01,82.5
2023-01-01,84.78
2023-02-01,86.04
2023-03-01,81.1
2023-04-01,86.6
2023-05-01,76.91
2023-06-01,76.97
2023-07-01,82.27
2023-08-01,89.3
2023-09-01,98.16
2023-10-01,94.9
2023-11-01,85.76
2023-12-01,79.12
2024-01-01,82.18
2024-02-01,86.08
2024-03-01,88.8
2024-04-01,93.12
2024-05-01,84.01
2024-06-01,83.64
2024-07-01,87.28
2024-08-01,82.88
2024-09-01,76.05
2024-10-01,76.69
2024-11-01,75.44
2024-12-01,74.72
2025-01-01,80.76
2025-02-01,77.08
2025-03-01,74.44
2025-04-01,69.07
2025-05-01,65.9
2025-06-01,73.5
2025-07-01,73.18
2025-08-01,70.55
2025-09-01,70.2
2025-10-01,66.15
2025-11-01,65.22
2025-12-01,64.09
2026-01-01,68.05
2026-02-01,72.33
2026-03-01,106.09
2026-04-01,126.71
2026-05-01,112.63
2026-06-01,88.24
