date,cases
2020-03-15,1
2020-03-22,24
2020-03-29,71
2020-04-05,117
2020-04-12,104
2020-04-19,223
2020-04-26,641
2020-05-03,1206
2020-05-10,1763
2020-05-17,1470
2020-05-24,1905
2020-05-31,2329
2020-06-07,2378
2020-06-14,3449
2020-06-21,4126
2020-06-28,4269
2020-07-05,4090
2020-07-12,3820
2020-07-19,4120
2020-07-26,3870
2020-08-02,3560
2020-08-09,2603
2020-08-16,2630
2020-08-23,3135
2020-08-30,1822
2020-09-06,1178
2020-09-13,1272
2020-09-20,968
2020-09-27,1053
2020-10-04,1089
2020-10-11,816
2020-10-18,1204
2020-10-25,623
2020-11-01,923
2020-11-08,937
2020-11-15,1206
2020-11-22,1232
2020-11-29,1102
2020-12-06,1607
2020-12-13,3820
2020-12-20,5176
2020-12-27,5643
2021-01-03,5587
2021-01-10,9900
2021-01-17,9880
2021-01-24,11659
2021-01-31,9955
2021-02-07,8685
2021-02-14,6422
2021-02-21,5889
2021-02-28,3864
2021-03-07,2820
2021-03-14,2300
2021-03-21,1114
2021-03-28,838
2021-04-04,624
2021-04-11,623
2021-04-18,471
2021-04-25,477
2021-05-02,469
2021-05-09,229
2021-05-16,320
2021-05-23,277
2021-05-30,306
2021-06-06,471
2021-06-13,303
2021-06-20,96
2021-06-27,310
2021-07-04,338
2021-07-11,737
2021-07-18,789
2021-07-25,1566
2021-08-01,3013
2021-08-08,3707
2021-08-15,4347
2021-08-22,4673
2021-08-29,4348
2021-09-05,4069
2021-09-12,3734
2021-09-19,2844
2021-09-26,2571
2021-10-03,1863
2021-10-10,1554
2021-10-17,1555
2021-10-24,1122
2021-10-31,1592
2021-11-07,740
2021-11-14,500
2021-11-21,405
2021-11-28,450
2021-12-05,585
2021-12-12,2496
2021-12-19,6420
2021-12-26,12531
2022-01-02,6863
2022-01-09,4898
2022-01-16,2853
2022-01-23,1331
2022-01-30,1061
2022-02-06,665
2022-02-13,285
2022-02-20,273
2022-02-27,258
2022-03-06,136
2022-03-13,308
2022-03-20,158
2022-03-27,193
2022-04-03,172
2022-04-10,138
2022-04-17,42
2022-04-24,37
2022-05-01,31
2022-05-08,50
2022-05-15,93
2022-05-22,78
2022-05-29,91
2022-06-05,120
2022-06-12,204
2022-06-19,221
2022-06-26,385
2022-07-03,679
2022-07-10,880
2022-07-17,490
2022-07-24,478
2022-07-31,1492
2022-08-07,908
2022-08-14,635
2022-08-21,392
2022-08-28,495
2022-09-04,460
2022-09-11,583
2022-09-18,483
2022-09-25,253
2022-10-02,245
2022-10-09,385
2022-10-16,121
2022-10-23,106
2022-10-30,95
2022-11-06,54
2022-11-13,50
2022-11-20,41
2022-11-27,30
2022-12-04,37
2022-12-11,31
2022-12-18,17
2022-12-25,17
2023-01-01,35
2023-01-08,13
