date,cpi_2009base
2014-01-01,153.2645
2014-02-01,154.0262
2014-03-01,155.2348
2014-04-01,156.1897
2014-05-01,157.4059
2014-06-01,158.6236
2014-07-01,159.6509
2014-08-01,160.4228
2014-09-01,161.3079
2014-10-01,162.1294
2014-11-01,163.0921
2014-12-01,164.4354
2015-01-01,165.7664
2015-02-01,166.9011
2015-03-01,168.4199
2015-04-01,169.7082
2015-05-01,171.5774
2015-06-01,173.1658
2015-07-01,174.3674
2015-08-01,175.3994
2015-09-01,176.4613
2015-10-01,177.2007
2015-11-01,178.3709
2015-12-01,180.1454
2016-01-01,181.7077
2016-02-01,185.8929
2016-03-01,189.935
2016-04-01,192.9939
2016-05-01,198.3044
2016-06-01,201.7038
2016-07-01,204.2307
2016-08-01,206.286
2016-09-01,207.9632
2016-10-01,209.681
2016-11-01,211.327
2016-12-01,213.5569
2017-01-01,215.7212
2017-02-01,218.9454
2017-03-01,222.7093
2017-04-01,226.2746
2017-05-01,230.5316
2017-06-01,234.1749
2017-07-01,237.0157
2017-08-01,239.3155
2017-09-01,241.1937
2017-10-01,243.0312
2017-11-01,244.9309
2017-12-01,246.384
2018-01-01,248.3528
2018-02-01,250.3194
2018-03-01,252.4125
2018-04-01,254.519
2018-05-01,257.2914
2018-06-01,260.4746
2018-07-01,263.4236
2018-08-01,266.1845
2018-09-01,268.4105
2018-10-01,270.3949
2018-11-01,272.5608
2018-12-01,274.5747
2019-01-01,276.6007
2019-02-01,278.6201
2019-03-01,280.8118
2019-04-01,283.463
2019-05-01,286.6133
2019-06-01,289.6928
2019-07-01,292.6227
2019-08-01,295.5071
2019-09-01,298.5899
2019-10-01,301.7796
2019-11-01,304.8688
2019-12-01,307.4731
2020-01-01,310.1587
2020-02-01,312.6077
2020-03-01,315.2318
2020-04-01,318.4465
2020-05-01,322.1656
2020-06-01,326.0746
2020-07-01,330.139
2020-08-01,334.5717
2020-09-01,339.5165
2020-10-01,344.7311
2020-11-01,350.2554
2020-12-01,355.9105
2021-01-01,361.2305
2021-02-01,366.7979
2021-03-01,372.5137
2021-04-01,376.1386
2021-05-01,379.9398
2021-06-01,383.9553
2021-07-01,387.5076
2021-08-01,391.4794
2021-09-01,395.9777
2021-10-01,399.8659
2021-11-01,404.1797
2021-12-01,411.5233
2022-01-01,417.5845
2022-02-01,424.3942
2022-03-01,431.7998
2022-04-01,439.4007
2022-05-01,447.2339
2022-06-01,455.3541
2022-07-01,463.6258
2022-08-01,471.83
2022-09-01,478.2368
2022-10-01,484.1861
2022-11-01,490.9395
2022-12-01,499.358
2023-01-01,508.6861
2023-02-01,517.3778
2023-03-01,526.9827
2023-04-01,537.0454
2023-05-01,547.4743
2023-06-01,559.127
2023-07-01,575.2648
2023-08-01,593.5519
2023-09-01,606.0018
2023-10-01,616.5128
2023-11-01,629.3853
2023-12-01,643.7812
2024-01-01,660.7784
2024-02-01,681.3775
2024-03-01,701.9485
2024-04-01,718.001
2024-05-01,733.3584
2024-06-01,750.3019
2024-07-01,767.3759
2024-08-01,784.3796
2024-09-01,804.1418
2024-10-01,825.3681
2024-11-01,847.1421
2024-12-01,867.7917
