date,generation_mw
2019-01-01,2043.0
2019-02-01,2559.5
2019-03-01,2728.5
2019-04-01,1222.2
2019-05-01,2876.3
2019-06-01,3069.4
2019-07-01,2957.0
2019-08-01,2862.9
2019-09-01,2638.9
2019-10-01,2715.1
2019-11-01,3097.2
2019-12-01,3010.8
2020-01-01,2916.7
2020-02-01,3132.2
2020-03-01,1733.9
2020-04-01,3125.0
2020-05-01,3279.6
2020-06-01,2652.8
2020-07-01,2889.8
2020-08-01,2930.1
2020-09-01,2958.3
2020-10-01,3400.5
2020-11-01,3847.2
2020-12-01,3938.2
2021-01-01,3978.5
2021-02-01,3735.1
2021-03-01,3440.9
2021-04-01,3305.6
2021-05-01,3118.3
2021-06-01,2944.4
2021-07-01,2836.0
2021-08-01,3346.8
2021-09-01,3097.2
2021-10-01,3279.6
2021-11-01,3666.7
2021-12-01,3723.1
2022-01-01,3642.5
2022-02-01,3631.0
2022-03-01,3158.6
2022-04-01,3222.2
2022-05-01,2997.3
2022-06-01,2611.1
2022-07-01,3346.8
2022-08-01,3575.3
2022-09-01,3597.2
2022-10-01,3534.9
2022-11-01,3916.7
2022-12-01,4099.5
2023-01-01,3723.1
2023-02-01,4181.5
2023-03-01,4112.9
2023-04-01,3875.0
2023-05-01,3763.4
2023-06-01,3458.3
2023-07-01,3696.2
2023-08-01,3669.4
2023-09-01,3513.9
2023-10-01,4112.9
2023-11-01,4236.1
2023-12-01,4032.3
2024-01-01,3750.0
2024-02-01,3592.0
2024-03-01,3897.8
2024-04-01,3277.8
2024-05-01,3548.4
2024-06-01,3180.6
2024-07-01,3494.6
2024-08-01,3548.4
2024-09-01,3902.8
2024-10-01,3400.5
2024-11-01,3597.2
2024-12-01,3776.9
2025-01-01,3924.7
2025-02-01,4211.3
2025-03-01,4529.6
2025-04-01,4097.2
2025-05-01,4220.4
2025-06-01,3152.8
2025-07-01,3817.2
2025-08-01,3911.3
2025-09-01,3902.8
2025-10-01,4086.0
2025-11-01,4486.1
2025-12-01,4207.0
2026-01-01,4126.3
2026-02-01,3928.6
2026-03-01,3642.5
2026-04-01,3500.0
