date,ngn_usd
2015-01-01,167.5
2015-02-01,178.15
2015-03-01,196.5727
2015-04-01,196.5
2015-05-01,196.5
2015-06-01,196.4159
2015-07-01,196.4714
2015-08-01,196.5
2015-09-01,196.4975
2015-10-01,196.4886
2015-11-01,196.4914
2015-12-01,196.4865
2016-01-01,196.55
2016-02-01,196.5
2016-03-01,196.5
2016-04-01,196.5
2016-05-01,196.5
2016-06-01,231.2614
2016-07-01,294.0722
2016-08-01,309.2304
2016-09-01,304.725
2016-10-01,304.7125
2016-11-01,304.6818
2016-12-01,304.7237
2017-01-01,304.7024
2017-02-01,304.8125
2017-03-01,305.9022
2017-04-01,305.5528
2017-05-01,305.0381
2017-06-01,305.2125
2017-07-01,305.3619
2017-08-01,305.1674
2017-09-01,305.3868
2017-10-01,305.1238
2017-11-01,305.4045
2017-12-01,305.8139
2018-01-01,305.2773
2018-02-01,305.395
2018-03-01,305.2405
2018-04-01,305.11
2018-05-01,305.3262
2018-06-01,305.3711
2018-07-01,305.3068
2018-08-01,305.5571
2018-09-01,305.7725
2018-10-01,305.9955
2018-11-01,306.2119
2018-12-01,306.4211
2019-01-01,306.3455
2019-02-01,306.27
2019-03-01,306.4238
2019-04-01,306.4625
2019-05-01,306.45
2019-06-01,306.4471
2019-07-01,306.437
2019-08-01,306.4325
2019-09-01,306.4175
2019-10-01,306.4619
2019-11-01,306.4475
2019-12-01,306.45
2020-01-01,306.4595
2020-02-01,306.455
2020-03-01,327.0619
2020-04-01,360.5
2020-05-01,360.5
2020-06-01,360.5
2020-07-01,360.5
2020-08-01,376.7857
2020-09-01,379.5
2020-10-01,379.5526
2020-11-01,379.5
2020-12-01,379.5
2021-01-01,379.5
2021-02-01,379.5
2021-03-01,379.5
2021-04-01,379.5
2021-05-01,397.1458
2021-06-01,409.6648
2021-07-01,409.6326
2021-08-01,409.6532
2021-09-01,410.0168
2021-10-01,410.4126
2021-11-01,410.8055
2021-12-01,411.1329
2022-01-01,414.535
2022-02-01,416.149
2022-03-01,415.8274
2022-04-01,415.4016
2022-05-01,415.0752
2022-06-01,415.0248
2022-07-01,415.1053
2022-08-01,419.9727
2022-09-01,428.7495
2022-10-01,436.1156
2022-11-01,441.8793
2022-12-01,445.9705
2023-01-01,454.9705
2023-02-01,460.426
2023-03-01,460.4314
2023-04-01,460.4175
2023-05-01,460.7024
2023-06-01,607.7489
2023-07-01,769.8165
2023-08-01,761.6203
2023-09-01,761.3272
2023-10-01,796.438
2023-11-01,832.6758
2023-12-01,898.8976
2024-01-01,941.256
2024-02-01,1504.8205
2024-03-01,1510.8432
2024-04-01,1236.5577
2024-05-01,1435.5678
2024-06-01,1481.7662
2024-07-01,1557.5701
2024-08-01,1586.9395
2024-09-01,1617.7167
2024-10-01,1640.6639
2024-11-01,1670.2764
2024-12-01,1553.254
2025-01-01,1535.4445
2025-02-01,1500.4716
2025-03-01,1525.8693
2025-04-01,1594.5515
2025-05-01,1594.7047
2025-06-01,1549.2943
2025-07-01,1529.847
2025-08-01,1534.2498
2025-09-01,1497.2895
2025-10-01,1459.0406
2025-11-01,1443.3503
2025-12-01,1450.354
2026-01-01,1416.0218
2026-02-01,1355.0287
2026-03-01,1378.8184
2026-04-01,1360.7185
2026-05-01,1369.4947
2026-06-01,1366.4902
2026-07-01,1372.7523
